Line: 1, Col: 1-4, Type: VOID, Value: void
Line: 1, Col: 6-9, Type: ID, Value: main
Line: 1, Col: 10-10, Type: (, Value: (
Line: 1, Col: 11-11, Type: ), Value: )
Line: 1, Col: 12-12, Type: :, Value: :
Line: 1, Col: 13-13, Type: NEWLINE, Value: \n
Line: 3, Col: 1-4, Type: INDENT, Value: INDENT
Line: 3, Col: 5-7, Type: INT, Value: int
Line: 3, Col: 9-9, Type: ID, Value: a
Line: 3, Col: 11-11, Type: =, Value: =
Line: 3, Col: 13-14, Type: NUMBER_INT, Value: 10
Line: 3, Col: 15-15, Type: NEWLINE, Value: \n
Line: 4, Col: 5-9, Type: FLOAT, Value: float
Line: 4, Col: 11-11, Type: ID, Value: b
Line: 4, Col: 13-13, Type: =, Value: =
Line: 4, Col: 15-18, Type: NUMBER_FLOAT, Value: 20.5
Line: 4, Col: 19-19, Type: NEWLINE, Value: \n
Line: 5, Col: 5-10, Type: STRING, Value: string
Line: 5, Col: 12-12, Type: ID, Value: s
Line: 5, Col: 14-14, Type: =, Value: =
Line: 5, Col: 16-27, Type: STRING_LITERAL, Value: Hola Mundo
Line: 5, Col: 28-28, Type: NEWLINE, Value: \n
Line: 8, Col: 5-6, Type: IF, Value: if
Line: 8, Col: 8-8, Type: ID, Value: a
Line: 8, Col: 10-10, Type: <, Value: <
Line: 8, Col: 12-12, Type: ID, Value: b
Line: 8, Col: 13-13, Type: :, Value: :
Line: 8, Col: 14-14, Type: NEWLINE, Value: \n
Line: 9, Col: 1-8, Type: INDENT, Value: INDENT
Line: 9, Col: 9-13, Type: WRITE, Value: write
Line: 9, Col: 14-14, Type: (, Value: (
Line: 9, Col: 15-26, Type: STRING_LITERAL, Value: A es menor
Line: 9, Col: 27-27, Type: ), Value: )
Line: 9, Col: 28-28, Type: NEWLINE, Value: \n
Line: 10, Col: 9-10, Type: IF, Value: if
Line: 10, Col: 12-12, Type: ID, Value: a
Line: 10, Col: 14-15, Type: ==, Value: ==
Line: 10, Col: 17-18, Type: NUMBER_INT, Value: 10
Line: 10, Col: 19-19, Type: :, Value: :
Line: 10, Col: 20-20, Type: NEWLINE, Value: \n
Line: 11, Col: 1-12, Type: INDENT, Value: INDENT
Line: 11, Col: 13-13, Type: ID, Value: a
Line: 11, Col: 15-15, Type: =, Value: =
Line: 11, Col: 17-17, Type: ID, Value: a
Line: 11, Col: 19-19, Type: +, Value: +
Line: 11, Col: 21-21, Type: NUMBER_INT, Value: 1
Line: 11, Col: 22-22, Type: NEWLINE, Value: \n
Line: 12, Col: 1-4, Type: DEDENT, Value: DEDENT
Line: 12, Col: 1-4, Type: DEDENT, Value: DEDENT
Line: 12, Col: 5-8, Type: ELSE, Value: else
Line: 12, Col: 9-9, Type: :, Value: :
Line: 12, Col: 10-10, Type: NEWLINE, Value: \n
Line: 13, Col: 1-8, Type: INDENT, Value: INDENT
Line: 13, Col: 9-13, Type: WRITE, Value: write
Line: 13, Col: 14-14, Type: (, Value: (
Line: 13, Col: 15-26, Type: STRING_LITERAL, Value: B es menor
Line: 13, Col: 27-27, Type: ), Value: )
Line: 13, Col: 28-28, Type: NEWLINE, Value: \n
Line: 16, Col: 1-4, Type: DEDENT, Value: DEDENT
Line: 16, Col: 5-10, Type: STRING, Value: string
Line: 16, Col: 12-16, Type: ID, Value: error
Line: 16, Col: 18-18, Type: =, Value: =
Line: 16, Col: 20-30, Type: STRING_LITERAL, Value: Esto falla
Line: 16, Col: 31-31, Type: NEWLINE, Value: \n
Line: 19, Col: 5-7, Type: INT, Value: int
Line: 19, Col: 9-63, Type: ID, Value: esteIdentificadorEsDemasiadoLar
Line: 19, Col: 65-65, Type: =, Value: =
Line: 19, Col: 67-67, Type: NUMBER_INT, Value: 0
Line: 19, Col: 68-68, Type: NEWLINE, Value: \n
Line: 21, Col: 1-1, Type: DEDENT, Value: DEDENT
Line: 21, Col: 1-1, Type: EOF, Value: EOF
